DCO,DEV,SENS,Volume_DEV
1/6/2022,CHF,Achat,579.29
1/6/2022,CHF,Achat,6527.95
1/6/2022,CHF,Achat,11193.00
1/7/2022,CHF,Achat,9482.82
1/7/2022,CHF,Achat,718.83
1/7/2022,CHF,Achat,4753.00
1/10/2022,CHF,Achat,12208.00
1/10/2022,CHF,Achat,223.29
1/10/2022,CHF,Achat,7476.79
1/11/2022,CHF,Achat,15958.63
1/11/2022,CHF,Achat,383.31
1/11/2022,CHF,Achat,11438.00
1/12/2022,CHF,Achat,215.22
1/12/2022,CHF,Achat,79375.20
1/12/2022,CHF,Achat,5250.00
1/13/2022,CHF,Achat,118.38
1/13/2022,CHF,Achat,6552.00
1/13/2022,CHF,Achat,6070.70
1/14/2022,CHF,Achat,9503.54
1/14/2022,CHF,Achat,6944.00
1/14/2022,CHF,Achat,397.47
1/17/2022,CHF,Achat,4669.00
1/17/2022,CHF,Achat,11420.86
1/17/2022,CHF,Achat,420.37
1/18/2022,CHF,Achat,7570.86
1/18/2022,CHF,Achat,134.36
1/18/2022,CHF,Achat,4704.00
1/19/2022,CHF,Achat,5226.09
1/19/2022,CHF,Achat,1778.00
1/19/2022,CHF,Achat,738.19
1/20/2022,CHF,Achat,2744.00
1/20/2022,CHF,Achat,163.32
1/20/2022,CHF,Achat,15698.73
1/21/2022,CHF,Achat,4865.00
1/21/2022,CHF,Achat,697.75
1/21/2022,CHF,Achat,79692.56
1/24/2022,CHF,Achat,20846.00
1/24/2022,CHF,Achat,1068.27
1/24/2022,CHF,Achat,9232.17
1/25/2022,CHF,Achat,279.37
1/25/2022,CHF,Achat,38078.96
1/25/2022,CHF,Achat,2317.00
1/26/2022,CHF,Achat,13484.00
1/26/2022,CHF,Achat,630.69
1/26/2022,CHF,Achat,4732.00
1/27/2022,CHF,Achat,466.77
1/27/2022,CHF,Achat,2072.00
1/27/2022,CHF,Achat,8110.57
1/28/2022,CHF,Achat,3374.00
1/28/2022,CHF,Achat,13391.79
1/28/2022,CHF,Achat,580.13
1/31/2022,CHF,Achat,38559.24
1/31/2022,CHF,Achat,653.09
1/31/2022,CHF,Achat,5607.00
2/1/2022,CHF,Achat,433.66
2/1/2022,CHF,Achat,9603.00
2/1/2022,CHF,Achat,1050.00
2/2/2022,CHF,Achat,10161.56
2/2/2022,CHF,Achat,215.20
2/2/2022,CHF,Achat,3647.00
2/3/2022,CHF,Achat,243.01
2/3/2022,CHF,Achat,15171.26
